Compound_Name	FDA_label	Prediction_biol_direct
amantadine	vLess-DILI-Concern	NoDILI
anagrelide	vMost-DILI-Concern	DILI
bumetanide	vNo-DILI-Concern	DILI
diazoxide	vLess-DILI-Concern	DILI
dipyridamole	vMost-DILI-Concern	NoDILI
entecavir	vNo-DILI-Concern	DILI
epirubicin	vLess-DILI-Concern	NoDILI
estrone	vMost-DILI-Concern	DILI
fluphenazine	vNo-DILI-Concern	DILI
naltrexone	vLess-DILI-Concern	NoDILI
nilotinib	vMost-DILI-Concern	DILI
praziquantel	vNo-DILI-Concern	NoDILI
thiothixene	vLess-DILI-Concern	DILI
toremifene	vMost-DILI-Concern	NoDILI
tretinoin	vNo-DILI-Concern	DILI
amoxapine	vLess-DILI-Concern	NoDILI
aprepitant	vMost-DILI-Concern	NoDILI
betaxolol	vNo-DILI-Concern	NoDILI
bisoprolol	vLess-DILI-Concern	NoDILI
chlorthalidone	vMost-DILI-Concern	DILI
cilostazol	vNo-DILI-Concern	DILI
clonidine	vLess-DILI-Concern	DILI
desipramine	vMost-DILI-Concern	NoDILI
dexamethasone	vNo-DILI-Concern	NoDILI
dexrazoxane	vLess-DILI-Concern	NoDILI
eplerenone	vMost-DILI-Concern	NoDILI
estropipate	vNo-DILI-Concern	DILI
everolimus	vLess-DILI-Concern	DILI
famciclovir	vMost-DILI-Concern	NoDILI
fulvestrant	vNo-DILI-Concern	NoDILI
guanfacine	vLess-DILI-Concern	DILI
iloperidone	vMost-DILI-Concern	NoDILI
maprotiline	vNo-DILI-Concern	NoDILI
mesoridazine	vLess-DILI-Concern	NoDILI
methocarbamol	vMost-DILI-Concern	NoDILI
metolazone	vNo-DILI-Concern	DILI
milrinone	vLess-DILI-Concern	DILI
moexipril	vMost-DILI-Concern	NoDILI
nadolol	vNo-DILI-Concern	NoDILI
nateglinide	vLess-DILI-Concern	NoDILI
nimodipine	vMost-DILI-Concern	NoDILI
pentoxifylline	vNo-DILI-Concern	NoDILI
pergolide	vLess-DILI-Concern	NoDILI
perindopril	vMost-DILI-Concern	NoDILI
prazosin	vNo-DILI-Concern	NoDILI
probenecid	vLess-DILI-Concern	DILI
tadalafil	vMost-DILI-Concern	NoDILI
timolol	vNo-DILI-Concern	NoDILI
tolbutamide	vLess-DILI-Concern	DILI
tramadol	vMost-DILI-Concern	NoDILI
trimethobenzamide	vNo-DILI-Concern	DILI
vardenafil	vLess-DILI-Concern	DILI
verteporfin	vMost-DILI-Concern	DILI
vinorelbine	vNo-DILI-Concern	NoDILI
zolmitriptan	vLess-DILI-Concern	DILI
