	smiles	cid
0	C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O	34359
1	Nc1c2c(nc3ccccc13)CCCC2	1935
2	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@@H](C(=O)O)N2C1=O	56330
3	NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O	2315
4	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	60700
5	COc1ccc2cc(CCC(C)=O)ccc2c1	4409
6	Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1	451668
7	CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1	3961
8	CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O	11339
9	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O	5362124
10	NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O	2910
11	O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1	3351
12	O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1	3435
13	CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1	446598
14	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1	5361202
15	CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1	2333
16	CC(C)NCC(O)c1ccc(O)c(O)c1	3779
17	CCCC(C)(COC(N)=O)COC(N)=O	4064
18	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	2833
19	N=c1nc(N2CCCCC2)cc(N)n1O	135743713
20	Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	6196
21	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21	53232
22	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl	3598
23	O=NN(CCCl)C(=O)NCCCl	2578
24	NCCCNCCSP(=O)(O)O	2141
25	CN1CCCN=C1/C=C/c1cccs1	708857
26	CC(O)(P(=O)(O)O)P(=O)(O)O	3305
27	O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O	5339
28	CC(C)(CO)[C@@H](O)C(=O)NCCCO	131204
29	CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2	19675
30	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12	2179
31	COc1c2occc2cc2ccc(=O)oc12	4114
32	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CCl	5311051
33	C[C@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@@H](C)N1	60464
34	CC(C)[N+]1(C)[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2	657309
35	O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F	3356
